1,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
1,What you thinked about me. First time you saw me in class.
1,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
1,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
1,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
0,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
1,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
0,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
1,"Sorry, I'll call later in meeting."
1,Tell where you reached
1,Yes..gauti and sehwag out of odi series.
1,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
1,Ha ha ha good joke. Girls are situation seekers.
1,Its a part of checking IQ
1,"Sorry my roommates took forever, it ok if I come by now?"
1,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
0,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a �1500 Bonus Prize, call 09066364589"
1,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
0,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
0,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
1,I plane to give on this month end.
1,Wah lucky man... Then can save money... Hee...
1,Finished class where are you.
1,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
1,K..k:)where are you?how did you performed?
1,U can call me now...
1,I am waiting machan. Call me once you free.
1,Thats cool. i am a gentleman and will treat you with dignity and respect.
1,I like you peoples very much:) but am very shy pa.
1,Does not operate after  &lt;#&gt;  or what
1,Its not the same here. Still looking for a job. How much do Ta's earn there.
1,"Sorry, I'll call later"
1,K. Did you call me just now ah? 
1,Ok i am on the way to home hi hi
1,You will be in the place of that man
1,Yup next stop.
1,"I call you later, don't have network. If urgnt, sms me."
1,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
1,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
1,I'm really not up to it still tonight babe
1,"Ela kano.,il download, come wen ur free.."
1,Yeah do! Don�t stand to close tho- you�ll catch something!
1,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
1,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
0,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed �1000 cash or �5000 prize!
1,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
0,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
1,Watching telugu movie..wat abt u?
1,i see. When we finish we have loads of loans to pay
1,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
1,I see a cup of coffee animation
1,Please don't text me anymore. I have nothing else to say.
1,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
1,I'm still looking for a car to buy. And have not gone 4the driving test yet.
1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
1,Umma my life and vava umma love you lot dear
1,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
1,"Aight, I'll hit you up when I get some cash"
1,How would my ip address test that considering my computer isn't a minecraft server
1,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
1,Dont worry. I guess he's busy.
1,What is the plural of the noun research?
1,Going for dinner.msg you after.
1,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
0,GENT! We are trying to contact you. Last weekends draw shows that you won a �1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
1,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
1,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
0,You are a winner U have been specially selected 2 receive �1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
1,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
1,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
